run_id,run_status,model,quantization_level,task_type,row_id,f1,rougeL,tokens_per_sec,avg_cpu_percent,max_rss_mb,energy per token (J/t)
run_0463,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,6813,0.8333333333333334,,2.14,74.52083333333333,6539.83203125,0.5120171027475182
run_0469,"COMPLETED
",LLaMA-2-3B,FP16,QA,8100,,0.1304347826086956,1.89,79.60252808988764,6539.83203125,1.449036176009334
run_0474,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,2988,,0.1123595505617977,1.85,81.43836805555556,6538.97265625,3.371738819951541
run_0480,"COMPLETED
",LLaMA-2-3B,FP16,QA,4722,,0.2142857142857142,1.9,79.16071428571429,6539.83203125,0.5981982686096823
run_0490,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,3354,,0.1509433962264151,1.85,81.95327669902913,6539.0234375,4.464600574936057
run_0493,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,7174,,0.2424242424242424,1.96,79.58651685393258,6539.83203125,0.0402789315573734
run_0510,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,8671,,0.1818181818181818,1.87,80.87316176470588,6539.83203125,0.4400139603836443
run_0557,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,6611,,0.0555555555555555,2.12,80.19263698630137,6539.83203125,0.4688944329564533
run_0577,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,6609,0.1739130434782609,,2.17,76.83533653846153,6539.83203125,0.5819417633157016
run_0592,"COMPLETED
",LLaMA-2-3B,FP16,QA,7289,,0.1842105263157895,2.1,79.09121621621621,6539.83203125,1.7519915674993554
run_0616,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,672,,0.123076923076923,1.87,79.57579787234043,6539.0234375,4.895325928466426
run_0628,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,10348,1.0,,2.12,75.22671568627452,6539.8515625,0.1521482915491323
run_0637,"COMPLETED
",LLaMA-2-3B,FP16,QA,3572,,0.2298850574712643,2.07,78.2650974025974,6539.8515625,0.627169979361436
run_0647,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,1506,0.0,,2.09,81.05450581395348,6539.8515625,0.5922240455360704
run_0650,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,5113,,0.15625,1.93,73.06740196078431,6539.0234375,2.8730599615450383
run_0662,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,6026,,0.1978021978021978,2.07,79.00205696202532,6539.7890625,0.3299716655903355
run_0666,"COMPLETED
",LLaMA-2-3B,FP16,QA,1050,0.0,,2.1,73.86642156862744,6539.7890625,0.5983432010209726
run_0676,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,8299,,0.1176470588235294,2.12,77.8466796875,6539.7890625,0.4328390826186135
run_0709,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,4969,,0.135593220338983,1.85,80.54255319148936,6539.0234375,6.399559261972823
run_0715,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,1637,,0.2307692307692307,1.72,77.66235632183908,6539.7890625,0.6093423091994852
run_0717,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,3551,1.0,,1.9,77.61691176470588,6539.7890625,0.2661064179170176
run_0718,"COMPLETED
",LLaMA-2-3B,FP16,QA,5943,,0.2127659574468085,2.06,79.18344155844156,6539.7890625,1.5322988424241593
run_0739,"COMPLETED
",LLaMA-2-3B,FP16,QA,1329,1.0,,2.12,79.22395833333333,6539.7890625,3.0581872500774274
run_0759,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,170,,0.380952380952381,2.14,76.0548245614035,6539.7890625,0.161612269740303
run_0763,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,680,1.0,,1.93,79.74916666666667,6539.0234375,3.629353867103201
run_0781,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,2184,,0.3037974683544303,1.95,82.27792553191489,6539.7890625,0.2981159411408439
run_0787,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,7908,,0.160919540229885,1.9,80.053125,6538.37109375,4.21160991282491
run_0788,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,6070,,0.1518987341772151,1.91,78.91515151515152,6539.7890625,0.4048717320087265
run_0795,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,2231,,0.1333333333333333,2.12,79.25595238095238,6539.7890625,0.4130729786988114
run_0796,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,925,,0.3043478260869565,2.15,76.0,6539.7890625,0.4258142548841007
run_0031,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,3553,0.0,,4.64,81.24234693877551,3663.76953125,0.2185631701439976
run_0040,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,3947,,0.2258064516129032,4.67,78.37202380952381,3663.76953125,0.4534178423071344
run_0054,"COMPLETED
",LLaMA-2-3B,INT8,QA,8199,,0.2307692307692307,5.11,73.72619047619048,3663.76953125,0.0530726273302214
run_0055,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,3354,1.0,,4.21,82.19298245614036,3663.76953125,0.1195960518458931
run_0072,"COMPLETED
",LLaMA-2-3B,INT8,QA,762,,0.0869565217391304,3.65,79.56818181818181,3663.76953125,0.3126810212702004
run_0075,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,170,,0.04,3.9,75.265625,3663.76953125,0.3450976967443056
run_0077,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,385,,0.1311475409836065,3.76,83.04583333333333,3663.921875,0.5728747802441737
run_0078,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,8657,0.0,,3.72,81.90350877192982,3663.97265625,0.5501945075828683
run_0086,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,925,,0.0689655172413793,3.84,79.26420454545455,3663.97265625,0.1992943218237375
run_0096,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,3928,,0.2580645161290323,3.85,79.11904761904762,3663.97265625,0.0214307405084699
run_0100,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,680,,0.1318681318681318,3.79,78.50260416666667,3663.97265625,0.4154622157708892
run_0107,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,1535,1.0,,3.64,82.79464285714286,3663.97265625,0.2676698371552165
run_0115,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,6026,,0.136986301369863,3.63,77.08333333333333,3663.97265625,0.2993356857003445
run_0124,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,5807,0.6666666666666666,,3.79,78.88352272727273,3664.05078125,0.0289156177855145
run_0149,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,2184,0.0,,3.65,80.13306451612904,3664.05078125,0.335509492845914
run_0162,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,2562,,0.1818181818181818,3.92,67.05787037037037,3664.05078125,0.2548821184348542
run_0166,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,1506,,0.048780487804878,3.75,83.06567796610169,3664.05078125,0.7620322070968817
run_0178,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,9685,,0.0677966101694915,3.89,79.12372448979592,3664.05078125,0.3537215538192852
run_0183,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,9765,,0.3728813559322034,3.71,81.42401960784314,3664.05078125,0.2120981383139865
run_0187,"COMPLETED
",LLaMA-2-3B,INT8,QA,3997,,0.1162790697674418,3.62,69.3,3664.05078125,0.1040139073427974
run_0191,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,1376,0.0,,3.75,79.625,3664.05078125,0.7088519250686555
run_0194,"COMPLETED
",LLaMA-2-3B,INT8,QA,7916,,0.2795698924731182,3.71,76.42013888888889,3664.05078125,0.6648554795585829
run_0200,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,3051,,0.2539682539682539,3.62,82.66269841269842,3664.05078125,0.349117595188528
run_0203,"COMPLETED
",LLaMA-2-3B,INT8,QA,8861,,0.2702702702702703,3.75,77.16086065573771,3664.07421875,0.0443046042775072
run_0206,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,10348,,0.2816901408450704,3.84,70.62673611111111,3664.07421875,0.2465794253216998
run_0224,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,3209,0.2,,3.67,82.58686440677967,3664.07421875,0.3759656591997
run_0225,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,7828,1.0,,3.61,83.23630136986301,3664.07421875,0.4202125346440322
run_0237,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,9893,0.6666666666666666,,3.94,71.89864864864865,3664.07421875,0.1686872428466724
run_0245,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,8671,,0.0727272727272727,3.6,82.78601694915254,3664.07421875,0.2498825152575836
run_0253,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_SHORT,6732,0.0,,3.91,72.64285714285714,3664.07421875,0.3244664079350765
run_0261,"COMPLETED
",LLaMA-2-3B,INT8,SUMM_LONG,760,0.0,,3.84,75.85546875,3664.07421875,0.1273774486983679
